Year,Sex,Age,State,Population
2022,Person,12-13 years,NT,142
2022,Person,14-17 years,NT,583
2022,Person,Total,NT,754
2021,Person,10-11 years,NT,40
2021,Person,12-13 years,NT,138
2021,Person,14-17 years,NT,578
2021,Person,Total,NT,754
2022,Male,10-11 years,ACT,3
2022,Male,12-13 years,ACT,36
2022,Male,14-17 years,ACT,171
2022,Male,Total,ACT,208
2022,Female,10-11 years,ACT,0
2022,Female,12-13 years,ACT,19
2022,Female,14-17 years,ACT,97
2022,Female,Total,ACT,121
2021,Male,10-11 years,ACT,0
2021,Male,12-13 years,ACT,22
2021,Male,14-17 years,ACT,129
2021,Male,Total,ACT,154
2021,Female,10-11 years,ACT,0
2021,Female,12-13 years,ACT,9
2021,Female,14-17 years,ACT,58
2021,Female,Total,ACT,65
2022,Person,10-11 years,ACT,3
2022,Person,12-13 years,ACT,58
2022,Person,14-17 years,ACT,269
2022,Person,Total,ACT,332
2021,Person,10-11 years,ACT,0
2021,Person,12-13 years,ACT,30
2021,Person,14-17 years,ACT,194
2021,Person,Total,ACT,223
